distance_function,time_tick,run,seed,n,d,tsi_score,tsi_time,qsi_score,qsi_time
cosine,0.0,9,8,1000,50,0.5050126980688103,5.292925467714667,0.5086778709813746,122.47486392967403
cosine,0.1111111111111111,9,8,1000,50,0.5152359634183281,5.280357163399458,0.5219999237875631,122.43084505200386
cosine,0.2222222222222222,9,8,1000,50,0.537866409495668,5.29096863232553,0.546573915773008,130.86931391619146
cosine,0.3333333333333333,9,8,1000,50,0.5778733322500857,5.591393545269966,0.5863297880264693,123.36599583365023
cosine,0.4444444444444444,9,8,1000,50,0.6370322466755333,5.434103490784764,0.6426337282140764,122.8792576175183
cosine,0.5555555555555556,9,8,1000,50,0.7116762433776462,5.324841920286417,0.7132823390402058,132.12902291491628
cosine,0.6666666666666666,9,8,1000,50,0.793610700881242,5.270450338721275,0.7924484653335735,120.11809570156038
cosine,0.7777777777777777,9,8,1000,50,0.8730654341716466,5.299435181543231,0.8713769186420085,120.95528504997492
cosine,0.8888888888888888,9,8,1000,50,0.942765577200447,5.231434205546975,0.9418548732631019,120.2681261524558
cosine,1.0,9,8,1000,50,1.0,5.240417689085007,1.0,128.4022880923003
cosine,0.0,10,9,1000,50,0.4964308296272224,5.291310945525765,0.49396047895220757,125.74947086721659
cosine,0.1111111111111111,10,9,1000,50,0.5050359116631662,5.167824665084481,0.5049422139731383,122.5523989237845
cosine,0.2222222222222222,10,9,1000,50,0.5263420273981396,5.32856360822916,0.5277289420161081,122.31843796372414
cosine,0.3333333333333333,10,9,1000,50,0.5660047081149285,5.321312168613076,0.5672065471662177,121.89755928330123
cosine,0.4444444444444444,10,9,1000,50,0.6262407156655654,5.320716302841902,0.625404217418545,123.68966605328023
cosine,0.5555555555555556,10,9,1000,50,0.7032962200677632,5.613780673593283,0.6997695603193701,125.57342307269573
cosine,0.6666666666666666,10,9,1000,50,0.7881497268811898,5.546556446701288,0.783439768015282,132.58839989826083
cosine,0.7777777777777777,10,9,1000,50,0.8701622022824428,5.572157165035605,0.8665022493865897,143.8403829820454
